label,text,text_length,real_review
5,nice  fast delivery the material of the bag is kind of soft but having nice feeling love it,18,1
5,ok absorb but not totally dry,6,1
5,dishonest seller bought 6 pcs of masks and 1 pcs strip came off contacted seller and agreed to issue me a 390 discount code for a new order  was scammed after they received my preious order payment then canceled my new order so ridiculous  asked me to reorder 1 pcs then they will send me 2 ,56,0
5,super fast delivery good price for great product ,8,1
5,responsive seller and good product delivery a bit slow may consider change to other logistics provider,16,1
5,prompt delivery and well packed value for money hope it lasts ,11,1
4,definitely value for money ,4,1
5,responsive seller smooth transaction thank you so much ,8,0
5,good and cheapno regrets,4,1
5,fast arrive take around 3 days  happy with it  sound not to bad but when calling ppl have abit of buzz sound  hope it can last long  ,27,1
5,delivery is acceptable nice color and fix well my mom like it ,12,1
5,good quality came in good packaging overall ok thank youuuu,10,1
5,good deal received in good condition definitely cheaper than watsons and guardian,12,1
5,fast delivery and good product will continued purchases ,8,1
5,earrings are so beautiful amd elegantlooking the seller also gave me discount card since i bought a lot thank you,20,1
5,got it at a flash sale so pretty worth it delivery was quite fast adequate packaging,16,1
5,nice scale not sure if it is accurate but have some reading for weight loss reference ,16,1
5,really worth the seller sells it the cheapest  gss price was way better  been eyeing it for very long but just couldnt bear to pay but in the end i got it ,32,1
5,very nice colour n affordable quality is good too thank u,11,1
5,item seems pretty decent sized for a young child really affordable too,12,1
5,i received the item today it is earlier than expected it is well protected in a bubble envelope i like it very much i have not tried yet thank you shopee shopeehaul,32,0
5,bubbled wrapped and fast semding out by the seller thanks seller ,11,0
5,very good quality package received in order thank you very much,11,1
5,item is really big good back is waterproof material but dimension is not accurate i measured is just 2m x 19m ,21,1
5,item comes in good condition happy with my purchase wouldnt complain for the price i paid,16,1
5,purchase only if youre not in a hurry to use the items otherwise quality is fine ,16,1
5,second purchase lowest price found here and shops hehehehe,9,1
5,received good appearance not yet use,6,0
5,well packaged and fast shipping recommended ,6,0
5,fast delivery and well packed the kids love it recommend this ,11,1
4,prompt delivery texture is very silky bought size xxl for normal wear of m,14,1
4,not suit to my bathroom the adjustment is not really flexible ,11,0
5,my fav buy is this calculator cause its damn pretty baby pink and too cute,15,1
5,great material and quality also fast delivery best buy ever  ,10,1
5,took awhile but came in one piece and still cheap so no complains ,13,1
5,works as advertised,3,1
5,thank you for the small free gift delivery took awhile to reach ordered on 266 received on 47 ,18,0
